sample_id,analytical_spot,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,oscillatory_zonation,sector_zonation,homogenous_zonation,group,measured_silica,predicted_silica
220,10,21887.24,166.94,774.85,83.18,345.48,0.98,22308.84,0.46,0.23,0.48,4.15,79.52,320.19,101.8,55.2,1,0,0,I,62.1,64.49
220,11,14019.18,133.6,561.72,75.79,240.75,0.98,14319.25,0.56,0.31,0.55,3.18,70.79,225.37,120.4,46.6,1,0,0,I,62.1,66.14
220,13,19625.53,158.08,686.1,89.31,287.49,0.98,20099.2,0.52,0.3,0.55,3.22,83.84,268.92,206,160.3,1,0,0,I,62.1,65.42
220,14,34943.37,210.93,966.3,117.45,397.17,0.96,36407.37,0.47,0.28,0.53,3.38,108.49,389.85,140,102.2,1,0,0,I,62.1,62.36
220,15,15083.08,138.58,573.75,82.53,241.09,0.96,15727.87,0.58,0.33,0.57,2.92,76.66,222.09,166,40.1,1,0,0,I,62.1,64.85
220,16,13412.42,130.68,548.22,75.28,232.33,0.98,13692.65,0.56,0.32,0.56,3.09,71.87,220.06,32.9,8.05,1,0,0,I,62.1,65.77
220,17,20293.46,160.74,759.63,78.72,337.51,0.98,20661.32,0.44,0.23,0.48,4.29,72.99,312.81,70.1,29.5,1,0,0,I,62.1,64.43
220,18,20440.61,161.33,702.12,96.83,280.96,0.95,21628.5,0.52,0.33,0.57,2.9,93.76,272.05,140.5,102,1,0,0,I,62.1,63.37
220,20,19719.77,158.45,760.48,79.95,327.65,0.96,20550.55,0.43,0.23,0.48,4.1,81.13,312.69,131.5,83.1,0,0,1,I,62.1,54.9
220,21,22121.19,167.83,734.25,94.23,307.54,0.98,22665.95,0.52,0.3,0.55,3.26,87.33,288.23,145,94,1,0,0,I,62.1,64.79
220,23,15474.91,140.37,643.16,68.6,296.1,0.97,16014.71,0.47,0.22,0.47,4.32,65.47,274.7,183,113,1,0,0,I,62.1,65.09
220,25,30870.46,198.26,864.62,109.51,359.65,0.98,31595.44,0.52,0.3,0.55,3.28,109.94,360.42,102,62.8,1,0,0,I,62.1,63.16
220,28,21330.91,164.8,700.93,92.53,299.04,0.97,22090.6,0.55,0.3,0.55,3.23,88.41,281.73,105.1,56.6,1,0,0,I,62.1,64.33
220,29,29222.95,192.89,898.15,94.56,401.59,0.98,29906.59,0.46,0.23,0.48,4.25,87.92,370.98,73.7,32.4,1,0,0,I,62.1,64.2
220,30,15298.01,139.56,572.48,87.25,227.85,0.97,15709.68,0.59,0.38,0.61,2.61,84.67,224.56,104,56.4,1,0,0,I,62.1,65.4
