GSWA_sample_id,GSWA_geochron_id,analytical_spot_id,age_Ma,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,groupno,P2O5_pct,SiO2_pct,Zr_ppm,oscillatory_zonation,sector_zonation,homogenous_zonation
135969,135969.1,,907,63996,285.45,1027.74,220.72,372.14,0.98,65524,0.76,0.59,0.77,1.69,225.13,387.78,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,32384,203.06,688.5,179.08,231.71,0.98,32968,0.86,0.77,0.88,1.29,174,239.71,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,7116,95.19,467.56,48.22,206,0.93,7616,0.41,0.21,0.46,4.27,55.15,201.43,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,39536,224.36,817.27,189.84,269.1,0.95,41436,0.74,0.7,0.83,1.42,187.29,274.23,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,6976,94.24,669.22,27.31,348.34,0.83,8424,0.2,0.07,0.27,12.75,31.45,306.89,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,25536,180.31,688.22,122.23,269.45,0.96,26480,0.68,0.45,0.67,2.2,127.19,267.27,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,19000,155.54,590.36,116.41,212.29,0.93,20324,0.69,0.54,0.73,1.82,118,218.45,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,38728,222.06,1004.71,132.57,387.92,0.92,42148,0.48,0.33,0.57,2.93,141.31,402.32,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,26836,184.85,656.47,145.17,238.78,0.98,27468,0.78,0.6,0.77,1.64,141.6,232.42,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,9740,111.36,414.76,95.08,138.53,0.93,10488,0.71,0.65,0.8,1.46,102.4,143.12,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,1184,38.83,135.88,32.87,47.44,0.91,1296,0.81,0.67,0.82,1.44,33.99,48.66,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,17156,147.8,521.1,121.56,181.32,0.96,17784,0.79,0.66,0.82,1.49,130.24,186.01,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,43072,234.18,899.46,169.65,332.93,0.96,44656,0.67,0.49,0.7,1.96,162.4,337.82,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,11800,122.57,439.16,97.49,157.85,0.97,12220,0.77,0.6,0.78,1.62,101.14,163.27,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,18572,153.77,535.53,147.34,163.69,0.95,19464,0.81,0.88,0.94,1.11,149.66,181.22,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,8580,104.52,386.19,88.62,127.36,0.94,9100,0.72,0.67,0.82,1.44,97.15,138.23,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,26672,184.28,810.93,113.77,314.2,0.93,28724,0.51,0.34,0.59,2.76,118.9,314.13,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,12980,128.56,448.53,110.45,152.5,0.96,13496,0.81,0.71,0.84,1.38,126,162.43,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,18328,152.76,590.24,114.6,216.02,0.92,20012,0.66,0.5,0.71,1.88,122.82,207.16,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,28356,190.01,662.64,154.91,234.48,0.98,28924,0.81,0.66,0.81,1.51,163.41,238.3,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,37320,217.98,772.63,203.58,240.38,0.97,38460,0.79,0.82,0.91,1.18,194.85,264.19,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,48144,247.59,951.45,175.58,359.63,0.96,50172,0.67,0.47,0.69,2.05,168.62,344.34,,,,0.27,56.844,141.4,1,1,0
135969,135969.1,,907,9420,109.52,390.76,102.58,119.57,0.94,9992,0.78,0.84,0.92,1.17,102.62,130,,,,0.27,56.844,141.4,1,1,0
