,epoch,Trial,concordance_cc,loss,mape_metric,pearson_cc,r_square,smape_metric,val_concordance_cc,val_loss,val_mape_metric,val_pearson_cc,val_r_square,val_smape_metric
0,0,1,0.0001242498983629,3137.643798828125,96.1654281616211,0.0375590659677982,-63.76270294189453,92.9031219482422,-0.0007599346572533,2598.616943359375,87.05726623535156,-0.0395085141062736,-52.535762786865234,77.74627685546875
1,1,1,-0.0092579778283834,1529.3095703125,61.73432159423828,-0.065623790025711,-30.55375862121582,47.947792053222656,-0.0680652409791946,589.3597412109375,33.56156539916992,-0.169669359922409,-11.123303413391112,20.371627807617188
2,2,1,-0.1266202330589294,489.16357421875,30.630165100097656,-0.2191423028707504,-9.076080322265623,17.149333953857422,-0.2457418888807296,344.0812072753906,25.694204330444336,-0.3947024345397949,-6.067861080169678,14.24741554260254
3,3,1,-0.2291486114263534,374.1526184082031,27.223852157592773,-0.3439905345439911,-6.701427459716797,14.73021411895752,-0.2953777909278869,270.78350830078125,22.903759002685547,-0.4057496190071106,-4.557174205780029,12.176403999328612
4,4,1,-0.2061614096164703,321.0018920898437,24.983322143554688,-0.2823218107223511,-5.604068756103516,13.14906406402588,-0.2632612586021423,225.8941650390625,20.72662734985352,-0.3597162663936615,-3.632102489471436,11.0629301071167
5,5,1,-0.1566570103168487,283.42010498046875,23.614748001098636,-0.2115213125944137,-4.828119277954102,12.42001247406006,-0.2039477080106735,185.9960784912109,18.647686004638672,-0.2570033669471741,-2.8097293376922607,9.69982624053955
6,6,1,-0.0855288058519363,248.2679443359375,22.049936294555664,-0.1108959838747978,-4.102283954620361,11.578983306884766,-0.1600790619850158,152.96102905273438,17.004594802856445,-0.1993073523044586,-2.1288747787475586,8.870943069458008
7,7,1,-0.0778717771172523,225.04449462890625,21.133493423461918,-0.0978980064392089,-3.622755527496338,10.987664222717283,-0.0540952496230602,131.4292449951172,15.713322639465332,-0.0721261650323867,-1.685058832168579,8.278207778930664
8,8,1,0.0163511112332344,194.489501953125,19.435039520263672,0.020892646163702,-2.991766929626465,10.142681121826172,0.0192493852227926,106.27230072021484,14.206565856933594,0.0173358172178268,-1.166382074356079,7.303779602050781
9,9,1,0.0689953789114952,182.2237701416016,18.98876953125,0.080492302775383,-2.7383737564086914,9.85604190826416,0.0945573523640632,97.45989990234376,13.415922164916992,0.1061958223581314,-0.9847068786621094,7.057234764099121
10,10,1,0.0948211103677749,168.19126892089844,18.107133865356445,0.1124116033315658,-2.448519229888916,9.468734741210938,0.1833758056163787,81.57652282714844,12.224407196044922,0.1964191794395446,-0.6570804119110107,6.312747001647949
11,11,1,0.1342943757772445,157.98025512695312,17.65376091003418,0.1600666493177414,-2.2374255657196045,9.19723892211914,0.2841611504554748,71.6807632446289,11.188735961914062,0.3021933138370514,-0.452888011932373,5.809754371643066
12,12,1,0.1679476350545883,154.8126678466797,17.556255340576172,0.2019426077604293,-2.171792984008789,9.106966972351074,0.3085273802280426,67.62545013427734,10.952595710754396,0.3552737236022949,-0.3691245317459106,5.781538963317871
13,13,1,0.1702951341867447,139.0166778564453,16.363788604736328,0.1949548125267028,-1.8453192710876465,8.524666786193848,0.4141787886619568,54.20674896240234,9.610562324523926,0.447458416223526,-0.0921355485916137,5.008276462554932
14,14,1,0.2325505316257476,128.145263671875,15.599793434143066,0.2650322020053863,-1.6205172538757324,8.10130786895752,0.4737308621406555,47.40088653564453,8.995509147644043,0.5166008472442627,0.0484453439712524,4.687788009643555
15,15,1,0.2838788330554962,118.2275619506836,14.97319507598877,0.3238307237625122,-1.415435791015625,7.764548301696777,0.5325607061386108,39.33027267456055,8.261857032775879,0.5608309507369995,0.2151084542274475,4.237189769744873
16,16,1,0.286818265914917,111.7830810546875,14.430070877075195,0.3233444988727569,-1.282073736190796,7.441690921783447,0.5902072787284851,34.19057083129883,7.690921783447266,0.6167188882827759,0.321395993232727,3.928048610687256
17,17,1,0.3206022381782532,105.40443420410156,14.417438507080078,0.3574618995189667,-1.150031566619873,7.405416011810303,0.5763203501701355,38.940895080566406,8.300630569458008,0.6608359217643738,0.2236945629119873,4.339715480804443
18,18,1,0.3355048298835754,105.01390075683594,13.926995277404783,0.384541392326355,-1.1416659355163574,7.203555107116699,0.6307173371315002,31.343582153320312,7.170793056488037,0.7047479152679443,0.3805734515190124,3.720473527908325
19,19,1,0.3341525197029114,102.43370056152344,13.88961696624756,0.3743379712104797,-1.088186740875244,7.194674968719482,0.6867002844810486,25.69681167602539,6.470156192779541,0.7239781618118286,0.497195303440094,3.28938627243042
20,20,1,0.3471331000328064,99.09732055664062,13.749807357788086,0.3880654275417328,-1.019134283065796,7.053369998931885,0.6937254071235657,25.839672088623047,6.286304950714111,0.7480933666229248,0.4943691492080688,3.234318971633911
21,21,1,0.3736556470394134,93.09850311279295,13.172699928283691,0.4113807678222656,-0.8951199054718018,6.780203819274902,0.7298553586006165,22.808597564697266,6.05709981918335,0.7546799778938293,0.5570291876792908,3.058809518814087
22,22,1,0.4031447470188141,91.05276489257812,13.036447525024414,0.4436904191970825,-0.8527235984802246,6.702625274658203,0.740092396736145,21.488731384277344,5.887399196624756,0.7708527445793152,0.5843406915664673,2.9711456298828125
23,23,1,0.3507179915904999,98.1177215576172,13.575628280639648,0.3904294371604919,-0.9984732866287231,6.955734729766846,0.7320273518562317,22.881458282470703,5.883988857269287,0.798896312713623,0.5556972622871399,3.030306577682495
